,Unnamed: 0,J,2,3,4,5,6,7,8,9,10,11,12,popup,lat,lon
114,114,2.87887828162291,20.0,48.0,30.0,11.5,0.0,0.0,0.0,0.0,2.3,24.9,19.5,リヤド国際空港 - サウジアラビア ,24.93,46.72
115,115,1.47673031026253,5.1,2.0,0.8,0.2,0.0,0.0,0.0,0.1,1.4,8.5,7.4,ワジュ - サウジアラビア ,26.2,36.48
116,116,9.829952267303101,62.9,180.9,269.9,195.0,115.0,88.7,114.4,171.4,328.9,292.4,194.3,クルネガラ - スリランカ ,7.47,80.37
117,117,12.9325775656325,81.4,111.6,229.4,303.4,198.4,120.4,119.5,263.7,347.4,322.2,187.1,コロンボ - スリランカ ,6.9,79.87
118,118,18.2130071599045,92.3,52.1,53.8,94.7,17.9,51.5,54.8,135.2,197.9,414.4,350.0,トリンコマリー - スリランカ ,8.58,81.25
119,119,17.601431980906902,84.7,111.1,132.0,172.3,154.5,131.3,117.4,148.2,200.2,225.1,194.9,ヌワラエリヤ - スリランカ ,6.97,80.77
120,120,11.4110978520286,49.3,49.4,102.8,73.6,43.5,30.9,59.5,82.2,126.6,212.9,139.3,ハンバントタ - スリランカ ,6.12,81.13
121,121,7.87589498806683,41.4,66.5,156.4,98.5,34.6,19.8,27.9,74.2,214.2,254.8,177.3,プッタラム - スリランカ ,8.03,79.83
122,122,1.84964200477327,25.7,61.2,86.9,147.0,169.9,174.1,191.4,239.0,172.4,34.8,5.7,アランヤプラテート - タイ ,13.69,102.5
123,123,1.04415274463007,20.8,59.5,75.2,188.4,218.6,221.7,294.6,248.6,96.8,16.7,6.5,ウドンタニ - タイ ,17.38,102.81
124,124,0.522076372315036,5.9,39.5,73.7,224.0,180.9,309.0,326.0,361.4,129.4,23.3,0.9,ウボン - タイ ,15.25,104.87
125,125,21.1963007159905,36.8,52.9,89.7,113.7,101.9,92.4,135.5,121.6,279.9,593.8,473.8,ソンクラー - タイ ,7.18,100.61
126,126,1.68556085918854,10.3,15.0,54.8,164.5,126.8,143.0,216.0,207.1,123.8,29.8,10.0,チェンマイ - タイ ,18.77,98.97
127,127,4.59427207637232,6.1,32.0,118.5,263.2,203.9,297.4,365.2,233.3,145.4,38.7,27.2,チェンライ - タイ ,19.96,99.88
128,128,4.3854415274463,35.0,83.8,131.1,375.2,480.1,481.0,446.8,540.1,272.6,66.0,9.8,チャンタブリー - タイ ,12.61,102.1
129,129,15.930787589498799,44.6,124.8,91.9,178.9,164.7,202.8,181.5,171.5,245.0,258.4,162.4,チュムポン - タイ ,10.5,99.19
